Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
166,Austin Reaves,SG,25,LAL,5,5,174,30,63,0.476,7,26,0.269,23,37,0.622,0.532,17,19,0.895,5,14,19,18,7,3,4,8,84
167,Paul Reed,C,24,PHI,6,0,43,4,9,0.444,0,0,,4,9,0.444,0.444,1,2,0.5,9,7,16,2,1,3,3,7,9
168,Naz Reid,C,24,MIN,16,0,361,65,142,0.458,25,69,0.362,40,73,0.548,0.546,22,31,0.71,9,50,59,16,8,12,14,32,177
169,Duncan Robinson,SF,29,MIA,5,0,60,5,16,0.313,3,13,0.231,2,3,0.667,0.406,0,0,,0,5,5,6,2,0,5,6,13
170,Mitchell Robinson,C,25,NYK,6,0,115,7,14,0.5,0,0,,7,14,0.5,0.5,3,8,0.375,23,18,41,3,6,7,3,15,17
171,Orlando Robinson,C,23,MIA,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,1,0,0,0,0,0
172,Jeremiah Robinson-Earl,PF,23,NOP,1,0,5,1,2,0.5,0,0,,1,2,0.5,0.5,0,2,0,1,0,1,1,0,0,0,0,2
173,David Roddy,PF,22,PHO,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
174,D'Angelo Russell,PG,27,LAL,5,5,185,28,73,0.384,14,44,0.318,14,29,0.483,0.479,1,2,0.5,1,13,14,21,4,1,9,6,71
175,Matt Ryan,SF,26,NOP,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,1,0,1,0,0
176,Ben Sheppard,SG,22,IND,17,2,335,31,71,0.437,19,50,0.38,12,21,0.571,0.57,7,9,0.778,10,41,51,17,8,1,11,32,88
177,Pascal Siakam,PF,29,IND,17,17,603,157,290,0.541,14,47,0.298,143,243,0.588,0.566,39,63,0.619,42,86,128,64,13,7,19,48,367
178,Jericho Sims,C,25,NYK,5,0,27,2,2,1,0,0,,2,2,1,1,3,4,0.75,3,5,8,1,2,1,0,1,7
179,Jalen Smith,C,23,IND,7,0,42,3,8,0.375,2,4,0.5,1,4,0.25,0.5,5,8,0.625,7,7,14,2,2,1,4,8,13
180,Jaden Springer,PG,21,BOS,4,0,22,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,0,3,3,1,0,1,2,1,4
181,Julian Strawther,SF,21,DEN,3,0,16,2,6,0.333,1,4,0.25,1,2,0.5,0.417,2,4,0.5,0,2,2,0,1,0,1,3,7
